ID,ACTIVITY_UUID,GROUP_UUID,DESCRIPTION,FOR_COORDINATION,SECTION_UUID,PHASE_NAME,ORG_UNIT_CODE,ORG_UNIT_TYPE,STATUS,CONTRIBUTION_TYPE
95dd6981-3c7c-4799-ac5f-b2619f9339d4,857776fd-9424-457f-9d8f-94a7f449b8b4,2d7f1df3-0ff2-4720-a6d2-4f6afe6b241a,,0,,Installation,EN-EL,GROUP,A,DC cabling
503d1e3f-2258-487c-9af2-c2e55b62502c,04c31860-7638-4dbf-8059-8d5fc46e1959,acf7a512-bb71-49f1-8e64-127efe59ca80,,1,,,SY-EPC,GROUP,A,Other
80c60dda-20aa-493f-960c-72d8ee483259,7c1bb996-b17e-467c-9a59-09da59e084ef,acf7a512-bb71-49f1-8e64-127efe59ca80,,1,,,SY-EPC,GROUP,A,Other
24e8024d-ce7a-4e43-b9a8-ba801b72e60b,04c31860-7638-4dbf-8059-8d5fc46e1959,4cc8b59f-4e50-4145-9cad-dacd4e4c1c29,Commissioning Coordination,0,,Commissioning,BE-OP,GROUP,A,Other
65bb9b7c-8031-4189-b860-c2eaa5abd758,7c1bb996-b17e-467c-9a59-09da59e084ef,2d7f1df3-0ff2-4720-a6d2-4f6afe6b241a,AC Supply Distribution  & Sub-station Interfaces,0,,Preparation,EN-EL,GROUP,A,Other
4436f028-0ac2-450e-a749-292d08e41960,7c1bb996-b17e-467c-9a59-09da59e084ef,2d7f1df3-0ff2-4720-a6d2-4f6afe6b241a,PSEN Remote Supervision,0,,Preparation,EN-EL,GROUP,A,Other
131bb8e7-fae7-4768-aefc-14262c51fff7,30c73321-9e91-4206-a241-c484f7d201dc,2d7f1df3-0ff2-4720-a6d2-4f6afe6b241a,,0,,Preparation,EN-EL,GROUP,A,Electrical lock-out
a5038818-5ec5-475c-9961-4a5ad9ab2dbc,04c31860-7638-4dbf-8059-8d5fc46e1959,55273ea0-248a-41f7-b3d6-b9e03dc7141f,Installation of RF interlocks,0,6f0cd9cd-bb7f-40fb-b55b-6820092c462a,Preparation,SY-RF-LIS,SECT,A,Other
d0aad718-6e56-4e21-9f9b-79c9a8be41ea,04c31860-7638-4dbf-8059-8d5fc46e1959,55273ea0-248a-41f7-b3d6-b9e03dc7141f,Commissioning Coordination,0,6f0cd9cd-bb7f-40fb-b55b-6820092c462a,Commissioning,SY-RF-LIS,SECT,A,Other
7ac612ef-523e-4dc0-8aa4-05f9cc5df518,7c1bb996-b17e-467c-9a59-09da59e084ef,2914bebb-400c-43d4-aa91-49bb5c4d2b0a,Civil Engineering Work,0,fed0aa83-c449-4523-b1b6-ee9814b4febc,Preparation,SCE-SAM-CE,SECT,A,Other
