"ID","GROUP_CONTRIBUTION_UUID","PLAN_UUID","VERSION_UUID","ACTIVITY_UUID","FIELD_SET_UUID","CONFIG_ID","PRIMARY_FIELD_CODE","FIELD_CODE","FIELD_VALUE"
"6e1211b9-84e8-4bae-8397-b9223b6a1917","5b3fe66d-e391-47d3-a991-d4990de13089","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","aefea290-ebaf-4b94-ba37-73c4e82762be","63646365-3830-3338-2d33-3330392d3434",79952,"","SUMP_SYSTEM","true"
"aa59a8ce-8e2d-4a97-93cf-7e831ec87530","5b3fe66d-e391-47d3-a991-d4990de13089","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","aefea290-ebaf-4b94-ba37-73c4e82762be","63646365-3830-3338-2d33-3330392d3434",79952,"","FLOW_RATE_VALUE",""
"90b66eb6-7704-4770-9cec-6cc0430dec10","5b3fe66d-e391-47d3-a991-d4990de13089","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","aefea290-ebaf-4b94-ba37-73c4e82762be","63646365-3830-3338-2d33-3330392d3434",79952,"","DESCRIPTION","."
"7f2ce5d1-56a9-4617-85df-e14023a0e44e","5b3fe66d-e391-47d3-a991-d4990de13089","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","aefea290-ebaf-4b94-ba37-73c4e82762be","63646365-3830-3338-2d33-3330392d3434",79952,"","DEMINERALISED_WATER","true"
"d7fbe99c-4e0f-4fb8-b642-0ce6b6ec13df","5b3fe66d-e391-47d3-a991-d4990de13089","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","aefea290-ebaf-4b94-ba37-73c4e82762be","63646365-3830-3338-2d33-3330392d3434",79952,"","COOLING_SYSTEM","true"
"f248352b-e457-4fdf-bb1a-851862d9ea9b","5b3fe66d-e391-47d3-a991-d4990de13089","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","aefea290-ebaf-4b94-ba37-73c4e82762be","63646365-3830-3338-2d33-3330392d3434",79952,"","RAW_WATER","true"
"99f768ab-83c1-4f6b-9518-e6d395fef6c7","df9da4f9-1d73-49a1-83ed-496bb3e067ea","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","aefea290-ebaf-4b94-ba37-73c4e82762be","34383833-3062-3131-2d66-3530392d3464",79948,"","E_COMMENT",""
"d39ccba8-0006-4c6a-b66a-c730513753c7","df9da4f9-1d73-49a1-83ed-496bb3e067ea","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","aefea290-ebaf-4b94-ba37-73c4e82762be","34383833-3062-3131-2d66-3530392d3464",79948,"","G_PROJECT_CODE","M18TBU0"
"a7c2a383-7b12-4230-b014-5792fdc38702","df9da4f9-1d73-49a1-83ed-496bb3e067ea","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","aefea290-ebaf-4b94-ba37-73c4e82762be","34383833-3062-3131-2d66-3530392d3464",79948,"","OF_COMMENT",""
"6fc92841-b6ba-4f5f-b354-e933b40cd06a","df9da4f9-1d73-49a1-83ed-496bb3e067ea","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","aefea290-ebaf-4b94-ba37-73c4e82762be","34383833-3062-3131-2d66-3530392d3464",79948,"","G_MAIN_ACTIVITY",""
