"ID","ACTIVITY_UUID","PHASE_UUID","AMOUNT","DURATION","SCHEDULE_ID"
"6ecb205b-1b1a-46d7-8b70-698c6774ea3e","8033baff-7013-4ea6-8c6c-49d88e92041e","206cc791-de8a-453f-aa8c-fdd86e7e3246",,"WEEKS",8216
"be52b492-10cf-44ab-82dc-0fc1e4a15995","8033baff-7013-4ea6-8c6c-49d88e92041e","dab03dec-bb77-4b3d-9e2c-49362b0442b2",,"WEEKS",8217
"17a82b67-bf55-4304-aeba-075d954f9214","8033baff-7013-4ea6-8c6c-49d88e92041e","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8218
"f06d907d-3e8e-48e6-9937-998cd19bc649","81578ada-9905-47d7-835b-35baa09f4adc","206cc791-de8a-453f-aa8c-fdd86e7e3246",22,"WEEKS",8549
"99019a19-7050-4f2f-8d3c-401e8c93e24f","81578ada-9905-47d7-835b-35baa09f4adc","dab03dec-bb77-4b3d-9e2c-49362b0442b2",22,"WEEKS",8550
"95362482-9fa1-4300-82df-2a530436b984","81578ada-9905-47d7-835b-35baa09f4adc","e73a06fe-2802-4d98-9478-ec42024fb354",22,"WEEKS",8551
"388dea7d-313c-4629-bfa5-96bda83ab2e4","8572a050-732b-4622-86b4-e3cd82e36c2a","206cc791-de8a-453f-aa8c-fdd86e7e3246",2,"MONTHS",8441
"81637952-f575-4ec7-ab6c-841dc1ed997a","8572a050-732b-4622-86b4-e3cd82e36c2a","dab03dec-bb77-4b3d-9e2c-49362b0442b2",8,"MONTHS",8442
"01f3f092-0e57-446d-a265-94f5b8770403","8572a050-732b-4622-86b4-e3cd82e36c2a","e73a06fe-2802-4d98-9478-ec42024fb354",2,"WEEKS",8443
"e1510b3d-9395-4b46-9f69-8f64cf114063","85798a58-a88f-4766-93d0-c6144cc9cf02","206cc791-de8a-453f-aa8c-fdd86e7e3246",,"WEEKS",8258
"7ba30739-1353-4190-af57-37d8c290502d","85798a58-a88f-4766-93d0-c6144cc9cf02","dab03dec-bb77-4b3d-9e2c-49362b0442b2",,"WEEKS",8259
"6be59e76-2bc4-4f81-ade7-a3b0fcbd95e7","85798a58-a88f-4766-93d0-c6144cc9cf02","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8260
"ceb7791e-b468-4013-a72c-b2905225a087","8828ec7b-3acb-46c4-bdd1-cef51420c600","206cc791-de8a-453f-aa8c-fdd86e7e3246",,"WEEKS",8384
"2243e55a-4d91-4598-a5ad-4ee894ee0280","8828ec7b-3acb-46c4-bdd1-cef51420c600","dab03dec-bb77-4b3d-9e2c-49362b0442b2",10,"WEEKS",8385
"6d5d570e-1a9f-47ee-8689-253975debec3","8828ec7b-3acb-46c4-bdd1-cef51420c600","e73a06fe-2802-4d98-9478-ec42024fb354",6,"WEEKS",8386
"2016b503-3b71-4462-a094-0d17baa58a88","88444f2b-cf1b-4d74-8c34-411a9bfb60d5","206cc791-de8a-453f-aa8c-fdd86e7e3246",1,"WEEKS",8342
"f92896b4-7809-4be9-82c5-2a4babd8f4d1","88444f2b-cf1b-4d74-8c34-411a9bfb60d5","dab03dec-bb77-4b3d-9e2c-49362b0442b2",1,"WEEKS",8343
"a5e705c2-198c-4421-9cdf-a9daa7205ddd","88444f2b-cf1b-4d74-8c34-411a9bfb60d5","e73a06fe-2802-4d98-9478-ec42024fb354",1,"WEEKS",8344
"9b4a9c9b-5eb6-4017-bd3b-fa72473340b5","8a647c2a-eba6-47d2-989e-03a6df32c219","206cc791-de8a-453f-aa8c-fdd86e7e3246",1,"WEEKS",8315
"6ca47ea8-ab15-45cc-94f8-a282f736bb8b","8a647c2a-eba6-47d2-989e-03a6df32c219","dab03dec-bb77-4b3d-9e2c-49362b0442b2",1,"WEEKS",8316
"98adda8f-97ef-44fe-8679-b44d7fb6f945","8a647c2a-eba6-47d2-989e-03a6df32c219","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8317
"3e92f043-8a55-4b32-8378-c021e7cfd333","8c27415a-067a-4330-9bcf-cd2e945d4b4a","206cc791-de8a-453f-aa8c-fdd86e7e3246",12,"WEEKS",8156
"5765a376-5f82-473b-a778-a4c517d3894e","8c27415a-067a-4330-9bcf-cd2e945d4b4a","dab03dec-bb77-4b3d-9e2c-49362b0442b2",48,"WEEKS",8157
"bcb3edb4-48bc-4424-8cca-b07d75b12b9b","8c27415a-067a-4330-9bcf-cd2e945d4b4a","e73a06fe-2802-4d98-9478-ec42024fb354",16,"WEEKS",8158
"a9f56ab1-395d-4205-bbe8-19a4db27cd22","8c79f7d1-e854-40c2-8ed0-5b74ddc964ef","206cc791-de8a-453f-aa8c-fdd86e7e3246",12,"MONTHS",8306
"0fb7f4bb-56ca-409b-8461-ee8fb1b87816","8c79f7d1-e854-40c2-8ed0-5b74ddc964ef","dab03dec-bb77-4b3d-9e2c-49362b0442b2",12,"MONTHS",8307
"158a31f6-3197-4d78-b909-b38f63175995","8c79f7d1-e854-40c2-8ed0-5b74ddc964ef","e73a06fe-2802-4d98-9478-ec42024fb354",8,"WEEKS",8308
"3a53e840-bb0b-4ac9-ad05-0f9c12dce8ad","8f6f3816-f706-4577-b8f5-9e2f6af6fd76","206cc791-de8a-453f-aa8c-fdd86e7e3246",1,"WEEKS",8498
"43063758-5de8-45f6-83cf-91934aa90adb","8f6f3816-f706-4577-b8f5-9e2f6af6fd76","dab03dec-bb77-4b3d-9e2c-49362b0442b2",1,"WEEKS",8499
"9a4329d2-cbb4-4bf9-8862-ca1b35bffa5c","8f6f3816-f706-4577-b8f5-9e2f6af6fd76","e73a06fe-2802-4d98-9478-ec42024fb354",1,"WEEKS",8500
"cdaaad4b-9060-4360-8468-dd13319507ec","904db44c-8a90-4ed6-bc66-eaa0c3296899","206cc791-de8a-453f-aa8c-fdd86e7e3246",2,"WEEKS",8327
"dae880d3-1ac3-48d3-89db-07b640c5f85f","904db44c-8a90-4ed6-bc66-eaa0c3296899","dab03dec-bb77-4b3d-9e2c-49362b0442b2",2,"WEEKS",8328
"5df86b97-5338-4a88-84f1-6657a2c36fc2","904db44c-8a90-4ed6-bc66-eaa0c3296899","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8329
"b6970cfd-92d1-469e-a85b-aec515e5e95e","93a7714c-8e97-4b7c-95f2-9274efe62af2","206cc791-de8a-453f-aa8c-fdd86e7e3246",12,"MONTHS",8231
"f8d6dd1d-363f-4238-a138-9e9b4b1d9999","93a7714c-8e97-4b7c-95f2-9274efe62af2","dab03dec-bb77-4b3d-9e2c-49362b0442b2",5,"MONTHS",8232
"944cafd4-7f84-47d1-912b-84e0a84e856e","93a7714c-8e97-4b7c-95f2-9274efe62af2","e73a06fe-2802-4d98-9478-ec42024fb354",1,"MONTHS",8233
"132cd9d9-3d67-448b-8a5e-e1ec86790006","9548aeb7-48af-4b33-8a6b-552fad7a931c","206cc791-de8a-453f-aa8c-fdd86e7e3246",,"WEEKS",8225
"09f1e3d4-226c-43fd-8a06-104e6f520182","9548aeb7-48af-4b33-8a6b-552fad7a931c","dab03dec-bb77-4b3d-9e2c-49362b0442b2",,"WEEKS",8226
"ca59940f-d71b-4dca-87fa-435805f0aee5","9548aeb7-48af-4b33-8a6b-552fad7a931c","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8227
"2c54ad1f-f61d-4e44-8e3f-b12650a06f45","98060e3a-5d37-4a29-9c5e-4ab702ef8e2c","206cc791-de8a-453f-aa8c-fdd86e7e3246",2,"WEEKS",8324
"e8fed26e-f264-4b5a-8b4f-be81082759a3","98060e3a-5d37-4a29-9c5e-4ab702ef8e2c","dab03dec-bb77-4b3d-9e2c-49362b0442b2",2,"WEEKS",8325
"ef6f76fd-7d5b-4868-b05d-6b28108a4b0e","98060e3a-5d37-4a29-9c5e-4ab702ef8e2c","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8326
"c7cdc6f8-d7cb-44e4-b553-1dc61aab2420","9a9cc679-3076-41be-8820-182904ed4a7d","206cc791-de8a-453f-aa8c-fdd86e7e3246",,"WEEKS",8573
"3dc152f0-b604-4ff3-b694-86d778eaf2b9","9a9cc679-3076-41be-8820-182904ed4a7d","dab03dec-bb77-4b3d-9e2c-49362b0442b2",1,"WEEKS",8574
"d4f83529-935e-4a71-af31-918329e402db","9a9cc679-3076-41be-8820-182904ed4a7d","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8575
"e3c51957-ba2e-446f-8040-c630f017e992","9bc3ab2c-b720-4098-a09f-131b6c3770b4","206cc791-de8a-453f-aa8c-fdd86e7e3246",24,"MONTHS",8285
"a29b277b-47e8-4afc-bba1-ba4f426b06e7","9bc3ab2c-b720-4098-a09f-131b6c3770b4","dab03dec-bb77-4b3d-9e2c-49362b0442b2",,"WEEKS",8286
"db035fca-1847-48cb-8404-8b2327551025","9bc3ab2c-b720-4098-a09f-131b6c3770b4","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8287
"c33b3c5d-91ba-4fa8-abeb-d4437c79811d","9bc9ddf3-415d-4b71-bb6e-c599c543d51b","206cc791-de8a-453f-aa8c-fdd86e7e3246",3,"MONTHS",8213
"2c19dfab-cc65-4d6f-8d4b-e995c81c3b3b","9bc9ddf3-415d-4b71-bb6e-c599c543d51b","dab03dec-bb77-4b3d-9e2c-49362b0442b2",4,"MONTHS",8214
"c46e2a59-9beb-4e06-84e9-deb579551fd6","9bc9ddf3-415d-4b71-bb6e-c599c543d51b","e73a06fe-2802-4d98-9478-ec42024fb354",1,"MONTHS",8215
"58f2335a-c133-416f-9537-d5c6d844cf99","9c505c66-35cd-4be6-be7c-58a9131a32ac","206cc791-de8a-453f-aa8c-fdd86e7e3246",,"WEEKS",8351
"03484226-9ea6-404c-8975-2487c197e673","9c505c66-35cd-4be6-be7c-58a9131a32ac","dab03dec-bb77-4b3d-9e2c-49362b0442b2",,"WEEKS",8352
"5655ec92-6b2e-4649-9ae4-556599ab9d98","9c505c66-35cd-4be6-be7c-58a9131a32ac","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8353
"7cdee2ef-4c09-4d25-983f-6527cbfdde34","9d0c98c7-f27e-48dc-ad61-a407a78494e4","206cc791-de8a-453f-aa8c-fdd86e7e3246",,"WEEKS",8363
"99b0ce7d-5fe8-4805-95ae-ced0f8b33787","9d0c98c7-f27e-48dc-ad61-a407a78494e4","dab03dec-bb77-4b3d-9e2c-49362b0442b2",,"WEEKS",8364
"d9c92dbc-0ff8-486f-a7c7-8d5c40ad0ced","9d0c98c7-f27e-48dc-ad61-a407a78494e4","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8365
"68ac8674-87df-4d39-bca2-7f0b417a70c3","a04948fd-8f82-4164-9785-22b80bb8bf55","206cc791-de8a-453f-aa8c-fdd86e7e3246",,"WEEKS",8528
"9492fb99-e8f7-4a13-8a1d-d7ab4d793b5b","a04948fd-8f82-4164-9785-22b80bb8bf55","dab03dec-bb77-4b3d-9e2c-49362b0442b2",,"WEEKS",8529
"2485f766-5c00-4079-a214-18f80286b84b","a04948fd-8f82-4164-9785-22b80bb8bf55","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8530
"b8ce0fa0-eb14-4612-97bf-31e74ae60808","a231ce0d-400b-41ad-a83f-d68c7b6f803e","206cc791-de8a-453f-aa8c-fdd86e7e3246",3,"MONTHS",8531
"b22a418c-e64e-49ca-8483-dcb00645faa1","a231ce0d-400b-41ad-a83f-d68c7b6f803e","dab03dec-bb77-4b3d-9e2c-49362b0442b2",3,"MONTHS",8532
"e955e029-cc9d-469d-84fd-cb5cf1891b70","a231ce0d-400b-41ad-a83f-d68c7b6f803e","e73a06fe-2802-4d98-9478-ec42024fb354",1,"WEEKS",8533
"00ebc7ba-c1c5-4701-8a60-0ac1749b4093","a2f04507-8f18-4a4c-b335-6e19a1033116","206cc791-de8a-453f-aa8c-fdd86e7e3246",,"WEEKS",8276
"0767ebf8-03f5-4b5a-8e31-18ea137e4ffe","a2f04507-8f18-4a4c-b335-6e19a1033116","dab03dec-bb77-4b3d-9e2c-49362b0442b2",,"WEEKS",8277
"5d98cfce-bef0-4ab3-bb4b-8cea2474e584","a2f04507-8f18-4a4c-b335-6e19a1033116","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8278
"405df372-6203-49b5-b7fc-b6d082d026aa","a6bd2703-7d9c-4115-bb45-cea9b30e90b4","206cc791-de8a-453f-aa8c-fdd86e7e3246",24,"MONTHS",8291
"c20bf971-dafe-49ee-8cb4-24a5d2568e4a","a6bd2703-7d9c-4115-bb45-cea9b30e90b4","dab03dec-bb77-4b3d-9e2c-49362b0442b2",24,"MONTHS",8292
"0915c981-d492-454a-9cdb-f0841aee73a7","a6bd2703-7d9c-4115-bb45-cea9b30e90b4","e73a06fe-2802-4d98-9478-ec42024fb354",24,"MONTHS",8293
"b06f8430-a833-412b-9ec4-37a695f70df9","a9795fc3-211a-4de4-92db-3f3f92911a7f","206cc791-de8a-453f-aa8c-fdd86e7e3246",18,"MONTHS",8546
"ef938098-31bb-4641-95b8-9e2a7370d637","a9795fc3-211a-4de4-92db-3f3f92911a7f","dab03dec-bb77-4b3d-9e2c-49362b0442b2",18,"MONTHS",8547
"7385d87f-10dc-4eb0-8aa3-27bb408505fa","a9795fc3-211a-4de4-92db-3f3f92911a7f","e73a06fe-2802-4d98-9478-ec42024fb354",18,"MONTHS",8548
"2fc03697-408f-4138-a05e-14b831b1bedd","aa9648d0-e2ce-4344-9dc4-99afe0df767e","206cc791-de8a-453f-aa8c-fdd86e7e3246",1,"WEEKS",8171
"c3eac2b1-4a9b-4cf1-a525-f80de96064a7","aa9648d0-e2ce-4344-9dc4-99afe0df767e","dab03dec-bb77-4b3d-9e2c-49362b0442b2",1,"WEEKS",8172
"65c269b8-53ee-480a-b1a0-aab908f258fe","aa9648d0-e2ce-4344-9dc4-99afe0df767e","e73a06fe-2802-4d98-9478-ec42024fb354",2,"WEEKS",8173
"27a7b740-8074-4007-8f16-1a8e7c62ac67","ad4e0940-5e2f-47af-bf26-3b28fe1076cc","206cc791-de8a-453f-aa8c-fdd86e7e3246",6,"WEEKS",8318
"6d762cc1-9d88-4eff-98d0-52180a789fd6","ad4e0940-5e2f-47af-bf26-3b28fe1076cc","dab03dec-bb77-4b3d-9e2c-49362b0442b2",2,"WEEKS",8319
"ca022e68-6ca8-4c79-bdfe-8df949489a68","ad4e0940-5e2f-47af-bf26-3b28fe1076cc","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8320
"c4a4caf4-faa3-4d27-b585-a1381aa7fc53","ad68760a-c262-448b-8950-9f4742d9034f","206cc791-de8a-453f-aa8c-fdd86e7e3246",,"WEEKS",8228
"98e0e962-1e11-45b6-a702-e52735196884","ad68760a-c262-448b-8950-9f4742d9034f","dab03dec-bb77-4b3d-9e2c-49362b0442b2",,"WEEKS",8229
"eb28fa47-43a0-48bc-835b-5f2811e96b35","ad68760a-c262-448b-8950-9f4742d9034f","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8230
"326b019c-4533-4e67-ba73-310cba430391","ad971a1f-33ef-491c-b70d-7e4433b645c7","206cc791-de8a-453f-aa8c-fdd86e7e3246",,"MONTHS",8552
"86448756-e262-479d-a317-51098ee8de25","ad971a1f-33ef-491c-b70d-7e4433b645c7","dab03dec-bb77-4b3d-9e2c-49362b0442b2",2,"MONTHS",8553
"c8cea296-2391-487e-ab88-fbec3ed289c8","ad971a1f-33ef-491c-b70d-7e4433b645c7","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8554
"83e3ff4e-6645-4725-b3fc-48978a7d3b53","ae7b2839-5752-4c0c-85ea-bc082db301c2","206cc791-de8a-453f-aa8c-fdd86e7e3246",1,"WEEKS",8312
"76ae039f-7a73-4264-933c-4f23137b022c","ae7b2839-5752-4c0c-85ea-bc082db301c2","dab03dec-bb77-4b3d-9e2c-49362b0442b2",1,"WEEKS",8313
"a1b6ff9a-bc12-461b-80e9-548fd9f2842b","ae7b2839-5752-4c0c-85ea-bc082db301c2","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8314
"10929764-62b7-4188-977e-ea0dd35d6a42","aeda928d-f2d8-4f61-a8cd-db6604c84ed7","206cc791-de8a-453f-aa8c-fdd86e7e3246",,"WEEKS",8255
"73eaed88-1fe7-4513-a7ac-1f33215ab17e","aeda928d-f2d8-4f61-a8cd-db6604c84ed7","dab03dec-bb77-4b3d-9e2c-49362b0442b2",,"WEEKS",8256
"128698de-8801-443a-a177-83b840535797","aeda928d-f2d8-4f61-a8cd-db6604c84ed7","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8257
"dde438ca-2582-498b-ba51-19e37f3b238d","aefea290-ebaf-4b94-ba37-73c4e82762be","206cc791-de8a-453f-aa8c-fdd86e7e3246",,"WEEKS",8387
"8cf15bdb-7d07-4528-b8b7-5ed7b6e3c89a","aefea290-ebaf-4b94-ba37-73c4e82762be","dab03dec-bb77-4b3d-9e2c-49362b0442b2",,"WEEKS",8388
"f64b12db-84b5-4504-b03b-f0f126096f0f","aefea290-ebaf-4b94-ba37-73c4e82762be","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8389
"77cdb413-3797-4d27-84d0-4b96ab86a828","b10bdaa8-081a-4eb6-bcfb-d717a791c50c","206cc791-de8a-453f-aa8c-fdd86e7e3246",,"WEEKS",8345
"8e3582ff-35eb-448c-8717-4924b047553e","b10bdaa8-081a-4eb6-bcfb-d717a791c50c","dab03dec-bb77-4b3d-9e2c-49362b0442b2",,"WEEKS",8346
"df9b3855-9b03-4dfb-9157-b5862d6047a4","b10bdaa8-081a-4eb6-bcfb-d717a791c50c","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8347
"b30ead03-dbcb-41af-b4fa-ce493bf29bdd","b229a438-dd11-496a-a259-8de47956eb58","206cc791-de8a-453f-aa8c-fdd86e7e3246",6,"MONTHS",8270
"59cddd23-4430-4e19-9552-a67973f1b741","b229a438-dd11-496a-a259-8de47956eb58","dab03dec-bb77-4b3d-9e2c-49362b0442b2",10,"WEEKS",8271
"4b2eec35-6c82-4a8a-b095-0aa8c6f6b6d9","b229a438-dd11-496a-a259-8de47956eb58","e73a06fe-2802-4d98-9478-ec42024fb354",4,"WEEKS",8272
"b1110a52-21c6-4f17-b908-4d995c0c9f35","b45cbf73-a4d9-4b60-8e5a-e5aa725f693d","206cc791-de8a-453f-aa8c-fdd86e7e3246",,"WEEKS",8369
"b8fc75af-a2dc-4d1b-ab11-b147a4e76834","b45cbf73-a4d9-4b60-8e5a-e5aa725f693d","dab03dec-bb77-4b3d-9e2c-49362b0442b2",,"WEEKS",8370
"fa6e6226-23f9-4020-84cb-d876d88dbc0c","b45cbf73-a4d9-4b60-8e5a-e5aa725f693d","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8371
"2927e9c9-f8ae-4475-8501-579bc09bfc85","b5daa333-747d-4f27-a87d-a15d35d9c758","206cc791-de8a-453f-aa8c-fdd86e7e3246",12,"WEEKS",8423
"d105e64b-8922-4089-b2f0-45c6823595c7","b5daa333-747d-4f27-a87d-a15d35d9c758","dab03dec-bb77-4b3d-9e2c-49362b0442b2",12,"WEEKS",8424
"792f8a22-5cba-403a-b783-d21eeb4b80b4","b5daa333-747d-4f27-a87d-a15d35d9c758","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8425
"5e996d6b-cd22-43f6-b924-b759a8c76760","b668c46b-bd24-4a07-91fc-6d727a996de8","206cc791-de8a-453f-aa8c-fdd86e7e3246",21,"WEEKS",8168
"d77c70f8-8cc2-42b2-adc7-cd258efcdebf","b668c46b-bd24-4a07-91fc-6d727a996de8","dab03dec-bb77-4b3d-9e2c-49362b0442b2",,"WEEKS",8169
"7e9919cb-f154-43ce-b27f-2e97b6382aa8","b668c46b-bd24-4a07-91fc-6d727a996de8","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8170
"2346f8d2-22a6-42bd-806c-5bee03c6db56","b8cbc58d-a247-436b-862f-fdef13383b6b","206cc791-de8a-453f-aa8c-fdd86e7e3246",120,"MONTHS",8555
"495573c3-4056-46c2-bc22-9e11b28a64bc","b8cbc58d-a247-436b-862f-fdef13383b6b","dab03dec-bb77-4b3d-9e2c-49362b0442b2",120,"MONTHS",8556
"39bdba84-5a8c-4fa0-a7d9-072a0180eab5","b8cbc58d-a247-436b-862f-fdef13383b6b","e73a06fe-2802-4d98-9478-ec42024fb354",120,"MONTHS",8557
"d5a13d0e-894c-4858-b421-587bfd269f97","b9de5988-0670-421d-9f55-db73e8fc7c37","206cc791-de8a-453f-aa8c-fdd86e7e3246",12,"MONTHS",8195
"222c1b6b-9bb4-4318-bff2-c1b3250305eb","b9de5988-0670-421d-9f55-db73e8fc7c37","dab03dec-bb77-4b3d-9e2c-49362b0442b2",20,"WEEKS",8196
"5b1043bf-4156-4f08-877f-214b5fef6dbf","b9de5988-0670-421d-9f55-db73e8fc7c37","e73a06fe-2802-4d98-9478-ec42024fb354",3,"WEEKS",8197
"fd555161-8e69-4c31-b2ab-a475b0fbaad9","bd8e694c-bf58-4d6f-aebf-2f0a5ad140a2","206cc791-de8a-453f-aa8c-fdd86e7e3246",,"WEEKS",8501
"1fed4903-d895-4528-a090-c1a88244e851","bd8e694c-bf58-4d6f-aebf-2f0a5ad140a2","dab03dec-bb77-4b3d-9e2c-49362b0442b2",,"WEEKS",8502
"79d40690-f05f-4c8b-af66-66b14e97887e","bd8e694c-bf58-4d6f-aebf-2f0a5ad140a2","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8503
"3f3822d0-603f-4cef-8bdf-c838b44a1477","be112029-bd6d-410b-95d4-8054e2f599e9","206cc791-de8a-453f-aa8c-fdd86e7e3246",,"WEEKS",8249
"1c7e8e57-fd97-4885-86a6-e53973369235","be112029-bd6d-410b-95d4-8054e2f599e9","dab03dec-bb77-4b3d-9e2c-49362b0442b2",,"WEEKS",8250
"25c2e39e-cc57-420d-be94-096a529c517c","be112029-bd6d-410b-95d4-8054e2f599e9","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8251
"37d69fc1-aa7c-46f9-b8a7-2deb3aca3161","be43f372-40c0-4fd2-aac2-db7fb23798d2","206cc791-de8a-453f-aa8c-fdd86e7e3246",,"WEEKS",8480
"702ab614-2d94-42b5-b86d-8e34d7bc90bf","be43f372-40c0-4fd2-aac2-db7fb23798d2","dab03dec-bb77-4b3d-9e2c-49362b0442b2",,"WEEKS",8481
"e11c183e-fb67-4a66-8f8d-200da59138ae","be43f372-40c0-4fd2-aac2-db7fb23798d2","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8482
"d51c121a-ccce-432f-9611-ee6e6760fbc7","bf44c8ba-b840-4320-a4ab-93b8772f2e09","206cc791-de8a-453f-aa8c-fdd86e7e3246",0,"MONTHS",8390
"6c7a6b24-7613-4c65-ae4d-f3762e1a4bbc","bf44c8ba-b840-4320-a4ab-93b8772f2e09","dab03dec-bb77-4b3d-9e2c-49362b0442b2",,"WEEKS",8391
"848f0b90-c45d-47ba-acf0-7cdd7cbd4874","bf44c8ba-b840-4320-a4ab-93b8772f2e09","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8392
"724c66f9-6b82-480f-a526-90cbd58e554e","bf5d929c-3257-4e46-ab87-da9b1f74b050","206cc791-de8a-453f-aa8c-fdd86e7e3246",,"WEEKS",8198
"f78243ce-89d4-4f25-8548-9a2a0a183ddc","bf5d929c-3257-4e46-ab87-da9b1f74b050","dab03dec-bb77-4b3d-9e2c-49362b0442b2",,"WEEKS",8199
"d858e9c9-c496-4dc5-a061-0d16591bb06a","bf5d929c-3257-4e46-ab87-da9b1f74b050","e73a06fe-2802-4d98-9478-ec42024fb354",,"WEEKS",8200
"42ba41dd-9724-4919-befd-58d431ccb088","bfbacfab-68ab-4b86-8175-c7203a2ff840","206cc791-de8a-453f-aa8c-fdd86e7e3246",20,"WEEKS",8210
"c4bb43fb-5b72-4258-93cc-149dd61e62ab","bfbacfab-68ab-4b86-8175-c7203a2ff840","dab03dec-bb77-4b3d-9e2c-49362b0442b2",10,"WEEKS",8211
"e8109412-6100-4d85-adff-693aebe750e6","bfbacfab-68ab-4b86-8175-c7203a2ff840","e73a06fe-2802-4d98-9478-ec42024fb354",1,"WEEKS",8212
"b366f607-daf3-4d3a-9542-37c8c42573a8","c045e3b8-eea6-4ed1-acc5-67f6c8e136ba","206cc791-de8a-453f-aa8c-fdd86e7e3246",24,"MONTHS",8543
"cb45b44b-9905-487f-bea7-fc2b960c4a96","c045e3b8-eea6-4ed1-acc5-67f6c8e136ba","dab03dec-bb77-4b3d-9e2c-49362b0442b2",24,"MONTHS",8544
"2f8ed843-d7a3-4114-9610-994f2bf7f4c4","c045e3b8-eea6-4ed1-acc5-67f6c8e136ba","e73a06fe-2802-4d98-9478-ec42024fb354",24,"MONTHS",8545
"a0713ad3-4f78-4578-955e-97d550d0559b","c10cef7b-0032-4315-9c1d-d283446c17c0","206cc791-de8a-453f-aa8c-fdd86e7e3246",6,"WEEKS",8567
"fef4f23e-634c-4e52-a7b9-1bac4c2911b1","c10cef7b-0032-4315-9c1d-d283446c17c0","dab03dec-bb77-4b3d-9e2c-49362b0442b2",12,"WEEKS",8568
"345cc466-a419-4a6e-9712-e23787cedb5a","c10cef7b-0032-4315-9c1d-d283446c17c0","e73a06fe-2802-4d98-9478-ec42024fb354",3,"WEEKS",8569
"d50a9408-bc48-44cb-b2a9-ed6d8e8a775c","c11df889-da11-4981-b04a-c79c15bf280c","206cc791-de8a-453f-aa8c-fdd86e7e3246",,"WEEKS",8483
"2a264d1d-9f94-44c1-a0e2-1c7ce34bfce1","c11df889-da11-4981-b04a-c79c15bf280c","dab03dec-bb77-4b3d-9e2c-49362b0442b2",1,"WEEKS",8484
