"ID","PLAN_UUID","VERSION_UUID","ACTIVITY_UUID","GROUP_CONTRIBUTION_UUID","CONFIG_ID"
"d65c052e-149d-415c-847e-eb4a84b7d5eb","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","d42ad952-2129-4c16-b213-a4d876581ce2","1faee714-ec51-425b-8f59-4693e4626537",79957
"3d0451ed-488d-4614-9b85-c31b6e3d1395","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","d42ad952-2129-4c16-b213-a4d876581ce2","1faee714-ec51-425b-8f59-4693e4626537",79956
"a18c0865-789c-4b62-9768-2807338d69b9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","d42ad952-2129-4c16-b213-a4d876581ce2","32a4531f-e910-4d00-9a4c-58cc84894a05",79948
"c079717e-bb2a-4ede-911b-a2b94569593d","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","d9e5db51-f3d8-476a-a3ed-89190b2c9e0f","4e5f42bf-125b-4a79-aa43-c876b2b2bfd3",79949
"603e7152-5d77-4286-bc1e-89cfb649a8be","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","d9e5db51-f3d8-476a-a3ed-89190b2c9e0f","4e5f42bf-125b-4a79-aa43-c876b2b2bfd3",79948
"44a44950-34bf-49a8-a368-08eea515eba9","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","da1554df-ce02-486e-a7a4-debc68e865ce","05d18ebd-541d-4be5-8824-4dbc4feee26a",79948
"3fed7242-5f48-4b76-8d82-3a08a2c7062b","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","db35cdd0-9686-4d1f-84d4-434cd729c0bd","18755266-6cd3-4598-afc9-afa55cfc735f",79948
"b7fc3bd9-1cc4-46b0-9957-f90c077ffe9b","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","dbc3a94d-4617-44b2-9f22-4069fa7aaf64","416be56c-974d-41bb-9191-b9c3822f6135",79948
"fd47d2de-5192-41b8-9c54-66c423c963c1","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","dbc3a94d-4617-44b2-9f22-4069fa7aaf64","416be56c-974d-41bb-9191-b9c3822f6135",79951
"615c9254-3cd2-4ce9-8ca6-6c93bbecc7c3","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","df29b15b-7e05-4c2a-b2be-17528779d741","e77640f5-462f-4f55-9cca-9108ae91e088",79948
"bfb35cff-4dd1-41f6-9be1-70d5569ffeea","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","dfd1eb3f-edef-418b-ac2f-d72be58af2ce","72ac8e34-0d2c-4b66-aa5e-852ef44c67cc",79948
"9bf2894d-b974-448c-a7fa-d19f2970672d","8a77c09c-de70-4ff6-bae7-964d1913b9e0","e229692e-8fad-4374-a02a-95e331b67dd3","e0ce31df-81a6-482a-b191-e7c5f9a139bd","bb42164a-3060-48db-814c-81d4d2d4edef",79948
